web_age_grp,Another sex/gender,Men,Transgender men,Transgender women,Women
0 to 5,0,14,1,0,4
6 to 10,1,6,0,0,3
11 to 15,0,8,1,0,4
16 to 20,7,408,6,17,36
21 to 25,27,2108,19,51,97
26 to 30,39,4243,18,97,92
31 to 35,36,5272,8,127,83
36 to 40,23,3823,9,100,70
41 to 45,16,2627,5,55,42
46 to 50,8,1695,2,32,40
51 to 55,5,1182,0,24,27
56 to 60,0,654,1,5,13
61 to 65,1,237,0,2,4
66 to 70,0,85,0,3,1
71 to 75,0,33,0,1,2
76+ years,0,4,0,0,3
